fielder_name,anticipation_score,total_opportunities,execution_score,deterrence_score,composite_score
Luisangel Acuña,99.99986500018224,198,62.240138548193215,94.72017109867265,85.46403726660868
Daniel Johnson,79.9748607448266,10,75.4802318039118,60.202638222413974,73.45868498490326
Dairon Blanco,85.80110120705291,6,64.07329015486927,63.14678073244776,72.53278722013735
Ryan Kreidler,82.67515027412327,23,56.409601924984266,74.9233507725831,71.54425847653958
Bryce Johnson,72.46548414906822,13,68.89754586843017,61.82699271070851,68.55708289125498
Michael Helman,66.32851086218983,13,70.82835669378086,65.98940108696321,67.81867945944003
José Azocar,68.26616171065074,25,69.3949472756113,63.34982504348463,67.43215249159542
Garrett Mitchell,72.91888047183099,231,59.8265825796956,64.46656875418707,66.22349828017262
Jackson Chourio,57.77390296691027,14,77.79970047806528,60.60872684448759,65.49163806520886
Mauricio Dubón,66.98670428583634,23,67.07404916510205,60.202638222413974,65.32125847772375
Jake Mccarthy,72.38885785727477,50,58.69696055233572,63.14678073244776,65.28617451933935
Kevin Alcántara,63.80081884627013,44,62.14225269294907,69.33963221907068,64.6050240358079
Steven Kwan,52.941105000096464,191,52.225756784196506,99.99932318562988,64.45528767091483
Lawrence Butler,70.58814000012863,32,59.52480893696429,61.31938193311641,64.39878461126806
Jorge Barrosa,65.68618583345304,63,62.24636442451074,64.16200228763186,64.10120245386794
Wyatt Langford,64.10759042384565,61,65.93920212757547,60.8117711555244,63.92469970307077
Brandon Lockridge,72.03461827881979,37,55.887208229735364,62.03003702174532,63.88187944737163
Tyrone Taylor,61.546372950642215,17,65.75211959378086,64.87265737626069,63.84995538214536
Javier Báez,63.01239265163,41,63.184620225517776,65.38026815385278,63.66464117804642
Pete Crow-Armstrong,65.22452919104352,273,60.725417690915585,62.537647799337336,62.97811981807219
Jarren Duran,66.94957608259624,46,57.76258411245922,63.75591366555825,62.93571328878879
Oneil Cruz,62.55224649890771,264,62.11786534059376,63.55286935452145,62.65036880740126
Tj Friedl,60.793152420492945,197,63.334221614689476,60.60872684448759,61.636420244460396
Mike Yastrzemski,56.65627026326114,6,69.12169407801002,58.88285020067465,61.575813582776625
Kenedy Corona,50.98032333342623,21,73.13198048667627,61.116337622079605,61.267406909227084
Julio Rodríguez,60.90149327862445,293,58.160494527506756,65.78635677592641,61.16335959005875
Denzel Clarke,60.62610411301371,270,62.93067038166748,58.67980588963785,60.94612775119856
Blake Perkins,62.678340695631995,41,55.16789016215896,64.87265737626069,60.59826217907361
Evan Carter,59.64890168266999,216,61.99411205500588,60.101116066895564,60.582778909043945
Jackson Merrill,63.659875123412576,263,56.939859739273814,59.99959391137717,60.392799435955155
Angel Martínez,62.60398263352476,28,55.44190112164373,63.45134719900304,60.30909524573597
Andy Pages,60.63977946199392,279,61.87047239771213,57.36001786789851,60.25058159097144
Tristan Peters,66.7518280435999,90,58.2513739136454,52.48695440301492,60.21045068796958
José Siri,42.44416176731871,17,83.04168803685963,56.54784062375129,60.17921567576617
Austin Martin,61.300226842216965,19,59.42755414249595,59.28893882274827,60.141969392447436
Drew Gilbert,65.07344156261861,23,58.71192780515309,54.11130889130946,60.10637857967839
Víctor Robles,59.55874312510853,27,55.740424075300986,66.70005617559204,60.007659720296765
Daulton Varsho,60.96248454556562,256,59.463931603781305,59.18741666722986,59.99422404635717
Colton Cowser,59.04335074777113,106,62.95963779707241,57.36001786789851,59.99321799505842
Jake Mangum,54.41510328316179,34,68.19561299282621,55.53261906856718,59.51766062789569
Jo Adell,55.52913500438936,17,64.79168490179431,58.07067295652736,59.4064119565156
Chandler Simpson,58.000573483485184,45,63.363341062666436,56.04022984615921,59.38745622686713
Dane Myers,57.58506157905231,132,61.10870558296927,59.69502744482188,59.34582844686563
Trent Grisham,58.83629354814214,247,60.34681640340439,58.476761578601035,59.27509355509865
Michael Siani,60.582089226914526,24,63.60059308592323,50.456511292646766,59.107171094000634
Jake Meyers,61.909270327981694,176,54.759082731317065,59.89807175585875,58.90390502611834
Luis Robert,60.0953083784879,278,57.23379469002202,59.28893882274827,58.89218619858993
Harrison Bader,58.960975600532514,180,58.86538561666298,58.375239423082625,58.7810850618157
Grant Mccray,59.55874312510853,6,51.890638706983964,67.00462264214725,58.73637645802461
Lane Thomas,58.22264041578305,78,56.96939956940783,62.03003702174532,58.73585527104229
Nathan Lukes,54.120851072522015,15,66.99146386660885,54.009786735791046,58.59779946626967
Jakob Marsee,56.983597599222776,266,58.18683291994192,61.7254705551901,58.590198200466304
Byron Buxton,57.136679564532436,245,59.79584600528652,58.88285020067465,58.50393047783192
Bryce Teodosio,52.869271750435566,83,67.72974613084654,54.41587535786473,58.457088685436695
Brandon Marsh,54.52879067228138,43,63.73455534985898,57.05545140134332,58.38247349169903
Javier Sanoja,49.358624210616256,13,69.1915999126981,57.56306217893533,58.351275198424666
Kyle Isbel,58.872266141186124,238,58.35646282700752,57.156973556861715,58.26291183514251
Cody Bellinger,62.25692175977009,51,55.329673775100375,55.32957475753037,58.10054821457576
Blaze Alexander,61.97983024401539,22,49.449815621652164,63.654391510039844,58.012965442694366
Robert Hassell,58.65359505329838,8,56.01861045943855,58.98437235619305,57.8140447711711
Ceddanne Rafaela,56.84171509852879,281,57.37735887737102,59.796549600340356,57.76789904657646
Sam Haggerty,55.108284736942515,2,60.05684365333117,58.78132804515624,57.758541184731975
Alek Thomas,53.02794114826502,252,62.52077153293888,57.86762864549054,57.560353657207244
Chris Taylor,41.176415000075025,10,74.368699607178,59.89807175585875,57.474128801507
Jonny Deluca,48.91634263166807,40,65.84159823584753,58.78132804515624,57.30642844650293
Dylan Carlson,55.79421844321545,16,59.96915156611695,55.93870769064079,57.29156734808731
Dashawn Keirsey,49.52554983879991,13,64.87567453351572,58.78132804515624,57.21203803353953
Victor Scott,52.724892785977076,267,61.34403942428194,58.476761578601035,57.17956130753977
Michael Harris,52.41504162611177,271,59.19657557183622,60.91329331104279,56.913141428348084
Kristian Campbell,52.33258655181952,26,64.72635724983962,52.182387936459705,56.6328566422866
Derek Hill,50.48617472791458,23,62.86924790622079,56.75088493478809,56.38642789204013
Leody Taveras,49.4539663473955,164,61.33758441534469,58.476761578601035,55.86893147897911
Daniel Schneemann,57.10241456342284,111,50.53037472186476,58.98437235619305,55.27269006707006
Myles Straw,57.53137421975802,14,52.75502061224409,55.025008290975165,55.23305897493243
Jacob Young,53.82052534893529,241,56.91428271264039,54.517397513383074,55.07755846734402
Johan Rojas,52.61927457456399,11,56.084941435148885,56.649362779269694,54.83978002694513
James Outman,50.074866831301435,101,56.8650543478309,59.59350528930349,54.83109207658726
Nathan Church,52.941105000096464,24,52.93270842931462,59.99959391137717,54.702788428142995
Jung Hoo Lee,50.853131995422174,19,57.106338515930446,56.8524070903065,54.54157305132115
Colby Thomas,43.59855705890297,7,67.89594413730806,53.29913164716223,54.52778618340957
Taylor Trammell,48.92751942247183,58,59.935282486246734,55.32957475753037,54.38075032855768
Tyler Tolbert,47.61566840245363,7,65.76957369340283,49.03520111538905,54.32441843251971
Wenceel Pérez,48.01635104659912,4,60.98459947564333,54.72044182441994,54.231260691219795
Jacob Melton,50.65038411066922,3,57.24728712336514,55.63414122408559,54.20523944346689
Matt Vierling,49.187817705313506,80,60.649219344924575,53.09608733612542,54.17637568688036
Everson Pereira,47.85505997825315,29,59.714492430178886,54.72044182441994,53.72220679796885
Cedric Mullins,46.55219601941698,272,60.91071296828613,54.517397513383074,53.568977325012696
Parker Meadows,53.48440026235516,197,52.11411929647575,55.53261906856718,53.51685662585037
Will Benson,51.81469851073272,21,54.98560222590649,53.29913164716223,53.295623095150916
Brenton Doyle,44.47052820008102,273,58.77046780152008,57.46154002341692,52.723260016418664
Jonatan Clase,46.27135948827329,5,61.67593693477532,47.309324471576176,51.92245284037473
Alan Roden,48.52934625008843,12,52.4096725521136,56.54784062375129,51.89208404921295
Hyeseong Kim,47.02222369573786,6,54.4183729716011,55.735663379603984,51.78923586325652
Will Brennan,45.37809000008268,5,58.386424011905525,46.091058605355265,50.109249055538825
Alex Call,45.37809000008268,4,53.21406746239079,48.32454602676022,48.8572961185599
Mickey Moniak,40.48996540402351,12,55.90558943334182,51.06564422575727,48.529353519718356
Luis Matos,56.437215707650026,6,27.20111199900876,65.48179030937118,48.46572306005587
Eli White,48.01635104659912,7,44.07032625511406,54.41587535786473,48.23512344739575
Jeff Mcneil,37.20185756763536,6,57.62318700970076,51.8778214699045,48.01831384792553
Kameron Misner,52.5682803169972,5,33.90267771075954,55.025008290975165,46.649501398308516
Stuart Fairchild,32.77306500005972,34,62.751037032245684,41.928650229100555,45.55425151858501
Zach Cole,29.698668658590698,45,58.44871959877652,49.44128973746273,44.69684175737375
Drew Waters,55.28929917348785,6,21.76571129580502,58.67980588963785,44.40367009533636
Alejandro Osuna,43.01464781257838,24,36.732562541572044,56.243274157196076,44.123074553880585
Noelvi Marte,19.50461763161448,15,60.108114187455044,58.67980588963785,43.509638490664514
Billy Cook,21.17644200003858,44,57.115617724514046,44.56822627257913,39.60309957174013
Luke Raley,21.17644200003858,13,58.83635391527435,41.01495082943499,39.3170383777202
Dylan Moore,0.0,6,59.520944939464314,0.0,20.832330728812508
